"SPECIES: common name","European common frog"
 1264 , 8665 
 2473 , 8655 
 2993 , 8654 
 2384 , 8652 
 1546 , 8648 
 698 , 8639 
 3197 , 8628 
 2753 , 8626 
 2500 , 8612 
 4488 , 8591 
 3741 , 8583 
 1997 , 8573 
 4196 , 8569 
 3442 , 8566 
 4976 , 8546 
 3634 , 8526 
 4202 , 8492 
 2272 , 8489 
 2877 , 8479 
 2952 , 8464 
 3083 , 8455 
 3202 , 8442 
 3971 , 8438 
 2589 , 8413 
 4946 , 8404 
 4740 , 8385 
 1296 , 8383 
 2391 , 8365 
 1598 , 8345 
 3601 , 8332 
 3381 , 8322 
 4001 , 8317 
 2269 , 8311 
 1966 , 8301 
 4104 , 8298 
 1335 , 8281 
 1931 , 8265 
 4471 , 8236 
 4208 , 8234 
 3478 , 8228 
 2752 , 8225 
 2492 , 8213 
 4295 , 8176 
 4462 , 8155 
 4250 , 8147 
 2118 , 8123 
 2859 , 8121 
 3757 , 8114 
 4313 , 8108 
 3842 , 8092 
 2778 , 8088 
 3423 , 8080 
 3325 , 8076 
 2356 , 8036 
 1209 , 8020 
 4249 , 8020 
 3098 , 8017 
 2201 , 8010 
 1079 , 8005 
 4093 , 7988 
 2429 , 7988 
 3130 , 7983 
 4133 , 7978 
 597 , 7949 
 2264 , 7947 
 3973 , 7947 
 2396 , 7919 
 1248 , 7914 
 1939 , 7890 
 3864 , 7883 
 2408 , 7880 
 3352 , 7861 
 2898 , 7808 
 2082 , 7784 
 1903 , 7782 
 2821 , 7778 
 3284 , 7771 
 1591 , 7761 
 1982 , 7752 
 1234 , 7747 
 2553 , 7741 
 2365 , 7738 
 456 , 7734 
 2660 , 7721 
 3629 , 7717 
 2552 , 7715 
 2220 , 7698 
 2052 , 7698 
 759 , 7690 
 1613 , 7674 
 1264 , 7674 
 762 , 7671 
 3012 , 7669 
 968 , 7668 
 1163 , 7665 
 3173 , 7613 
 1009 , 7608 
 2693 , 7607 
 3435 , 7606 
 1572 , 7586 
 3002 , 7583 
 2786 , 7555 
 2280 , 7536 
 1948 , 7535 
 1421 , 7505 
 2267 , 7489 
 1824 , 7421 
 1712 , 7296 
