"SPECIES: common name","European common frog"
"SPECIES: Latin  name","Rana temporaria"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2A"
"RETINAL LOCATION of sampling field","all, right eye"
"NUMBER OF CELLS",1001
"AREA OF SAMPLED FIELD (sq mm)",62.36
"TOTAL RETINAL AREA (sq mm)",62.36
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","AOS-projecting RGCs, HRP-labelled from nBOR (see Methods)"
"X","Y"
 10613 , 9226 
 2837 , 9219 
 5862 , 9218 
 934 , 9207 
 4439 , 9206 
 10759 , 9202 
 7739 , 9201 
 7330 , 9201 
 5598 , 9199 
 3412 , 9198 
 8155 , 9197 
 5740 , 9197 
 763 , 9196 
 5244 , 9195 
 10071 , 9193 
 1292 , 9191 
 4900 , 9190 
 2642 , 9185 
 5351 , 9184 
 7499 , 9184 
 10284 , 9172 
 3168 , 9163 
 3753 , 9162 
 6186 , 9156 
 5469 , 9156 
 2220 , 9154 
 9133 , 9149 
 6821 , 9149 
 10249 , 9131 
 3550 , 9129 
 4145 , 9129 
 3859 , 9116 
 8180 , 9108 
 10617 , 9106 
 5937 , 9094 
 5036 , 9089 
 5897 , 9089 
 6887 , 9085 
 3248 , 9084 
 9272 , 9078 
 9445 , 9075 
 3921 , 9074 
 7140 , 9072 
 9336 , 9069 
 5542 , 9057 
 5348 , 9057 
 3425 , 9043 
 2918 , 9042 
 1572 , 9040 
 4451 , 9039 
 6136 , 9035 
 3108 , 9033 
 6989 , 9030 
 6874 , 9030 
 5724 , 9017 
 6394 , 9017 
 740 , 9014 
 1664 , 9004 
 3872 , 9000 
 3078 , 8991 
 7759 , 8989 
 6603 , 8983 
 11554 , 8976 
 5113 , 8972 
 2312 , 8964 
 4903 , 8962 
 4742 , 8961 
 9098 , 8956 
 6334 , 8955 
 3190 , 8952 
 6355 , 8949 
 2185 , 8948 
 9864 , 8948 
 1344 , 8945 
 2695 , 8942 
 3623 , 8936 
 3755 , 8934 
 8290 , 8932 
 11250 , 8929 
 8697 , 8926 
 2194 , 8923 
 2834 , 8903 
 5391 , 8902 
 7544 , 8900 
 4499 , 8894 
 10578 , 8879 
 5240 , 8876 
 4968 , 8875 
 1150 , 8871 
 5925 , 8868 
 3259 , 8868 
 5898 , 8855 
 6022 , 8850 
 6734 , 8838 
 4829 , 8833 
 1730 , 8828 
 10331 , 8824 
 1527 , 8820 
 6162 , 8819 
 2853 , 8807 
 7792 , 8805 
 11087 , 8803 
 10184 , 8792 
 2962 , 8790 
 3871 , 8786 
 6443 , 8785 
 5381 , 8784 
 3137 , 8784 
 4986 , 8781 
 4614 , 8781 
 10310 , 8776 
 417 , 8774 
 2246 , 8770 
 7150 , 8766 
 3778 , 8765 
 875 , 8764 
 5853 , 8761 
 2727 , 8760 
 11443 , 8749 
 4394 , 8735 
 3990 , 8732 
 6122 , 8722 
 4865 , 8707 
 9786 , 8704 
 6817 , 8686 
 8789 , 8686 
 6907 , 8673 
 1264 , 8665 
 2473 , 8655 
 2993 , 8654 
 2384 , 8652 
 6311 , 8649 
 1546 , 8648 
 8112 , 8644 
 7706 , 8642 
 6631 , 8640 
 698 , 8639 
 5662 , 8636 
 3197 , 8628 
 10591 , 8628 
 2753 , 8626 
 5955 , 8621 
 7371 , 8616 
 2500 , 8612 
 8986 , 8609 
 4488 , 8591 
 3741 , 8583 
 1997 , 8573 
 6105 , 8571 
 4196 , 8569 
 3442 , 8566 
 7000 , 8556 
 4976 , 8546 
 8298 , 8526 
 3634 , 8526 
 5714 , 8516 
 8022 , 8501 
 4202 , 8492 
 2272 , 8489 
 2877 , 8479 
 5201 , 8473 
 2952 , 8464 
 6056 , 8463 
 3083 , 8455 
 5591 , 8454 
 7275 , 8454 
 10079 , 8450 
 5851 , 8449 
 3202 , 8442 
 3971 , 8438 
 7121 , 8437 
 6906 , 8424 
 5926 , 8418 
 2589 , 8413 
 4946 , 8404 
 6513 , 8396 
 6237 , 8387 
 4740 , 8385 
 1296 , 8383 
 6469 , 8382 
 5356 , 8381 
 7105 , 8380 
 7693 , 8378 
 6947 , 8373 
 2391 , 8365 
 8852 , 8350 
 1598 , 8345 
 3601 , 8332 
 8895 , 8330 
 5391 , 8326 
 8124 , 8323 
 3381 , 8322 
 4001 , 8317 
 6874 , 8316 
 2269 , 8311 
 7321 , 8310 
 1966 , 8301 
 4104 , 8298 
 10360 , 8295 
 1335 , 8281 
 4949 , 8268 
 1931 , 8265 
 7779 , 8250 
 6665 , 8243 
 4471 , 8236 
 4208 , 8234 
 4706 , 8233 
 9715 , 8232 
 3478 , 8228 
 2752 , 8225 
 2492 , 8213 
 5477 , 8204 
 8465 , 8204 
 11074 , 8202 
 8716 , 8200 
 9585 , 8197 
 5260 , 8183 
 4295 , 8176 
 7720 , 8173 
 4462 , 8155 
 7794 , 8151 
 4250 , 8147 
 6194 , 8142 
 7061 , 8142 
 4697 , 8138 
 5544 , 8130 
 5372 , 8124 
 2118 , 8123 
 2859 , 8121 
 6771 , 8118 
 3757 , 8114 
 4313 , 8108 
 7251 , 8096 
 3842 , 8092 
 5989 , 8088 
 2778 , 8088 
 3423 , 8080 
 3325 , 8076 
 5034 , 8074 
 11263 , 8073 
