"SPECIES: common name","Albino rat"
"SPECIES: Latin  name","Rattus norvegicus"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs, MTN-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-29"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","all"
"NUMBER OF CELLS",1674
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the published Fig 4B of Dann and Buhl (1987) J Comp Neurol 262: 141-158"
"X","Y"
 1050 , 5004 
 4247 , 5000 
 2119 , 4998 
 1210 , 4997 
 2709 , 4986 
 2373 , 4986 
 1927 , 4982 
 1521 , 4979 
 3949 , 4979 
 2633 , 4979 
 1619 , 4979 
 1150 , 4977 
 2115 , 4973 
 1377 , 4972 
 2360 , 4970 
 1047 , 4970 
 3191 , 4968 
 1494 , 4965 
 1432 , 4962 
 2008 , 4958 
 3437 , 4955 
 3970 , 4954 
 1205 , 4949 
 1307 , 4948 
 937 , 4944 
 988 , 4943 
 3506 , 4943 
 1985 , 4942 
 3791 , 4940 
 2801 , 4939 
 1633 , 4936 
 4266 , 4931 
 3456 , 4931 
 3706 , 4928 
 2850 , 4926 
 2564 , 4924 
 3003 , 4921 
 865 , 4919 
 2206 , 4917 
 1803 , 4915 
 3337 , 4914 
 890 , 4910 
 3581 , 4909 
 4384 , 4906 
 2023 , 4905 
 3188 , 4903 
 4092 , 4898 
 923 , 4892 
 738 , 4891 
 2262 , 4890 
 4108 , 4889 
 1945 , 4889 
 2625 , 4888 
 3914 , 4887 
 3176 , 4886 
 3594 , 4884 
 1217 , 4883 
 2741 , 4883 
 1569 , 4880 
 1724 , 4879 
 1817 , 4877 
 2077 , 4877 
 1854 , 4876 
 1121 , 4873 
 2370 , 4871 
 3243 , 4869 
 1160 , 4865 
 3825 , 4863 
 754 , 4860 
 3135 , 4857 
 2206 , 4855 
 2751 , 4853 
 1027 , 4849 
 2424 , 4849 
 1125 , 4847 
 1495 , 4847 
 1771 , 4845 
 790 , 4843 
 1350 , 4843 
 1453 , 4840 
 3619 , 4839 
 1314 , 4838 
 2823 , 4831 
 3055 , 4830 
 2661 , 4828 
 1973 , 4823 
 2563 , 4819 
 2885 , 4817 
 3540 , 4817 
 4248 , 4817 
 2252 , 4815 
 1114 , 4814 
 1629 , 4812 
 917 , 4811 
 1257 , 4810 
 855 , 4809 
 1612 , 4809 
 2733 , 4809 
 4356 , 4809 
 1411 , 4808 
 3150 , 4806 
 1807 , 4806 
 2194 , 4804 
 3598 , 4801 
 3607 , 4801 
 621 , 4800 
 3921 , 4799 
 631 , 4798 
 2266 , 4797 
 1454 , 4793 
 3790 , 4790 
 3335 , 4790 
 1695 , 4790 
 1551 , 4786 
 2503 , 4780 
 2671 , 4774 
 3200 , 4774 
 1835 , 4774 
 1257 , 4773 
 4246 , 4771 
 2101 , 4767 
 2235 , 4766 
 2381 , 4765 
 3942 , 4762 
 832 , 4761 
 1727 , 4760 
 908 , 4758 
 4055 , 4757 
 965 , 4757 
 1186 , 4753 
 3525 , 4752 
 1164 , 4749 
 1058 , 4746 
 1294 , 4745 
 3663 , 4744 
 535 , 4743 
 1975 , 4740 
 1596 , 4738 
 4134 , 4730 
 3838 , 4726 
 609 , 4725 
 3184 , 4722 
 1845 , 4722 
 3169 , 4722 
 937 , 4721 
 1574 , 4718 
 793 , 4717 
 1364 , 4716 
 425 , 4714 
 1248 , 4713 
 1399 , 4705 
 4318 , 4704 
 816 , 4702 
 4148 , 4700 
 2531 , 4698 
 3392 , 4698 
 3309 , 4697 
 3549 , 4695 
 727 , 4690 
 983 , 4687 
 4674 , 4686 
 1200 , 4683 
 1176 , 4682 
 1070 , 4681 
 2949 , 4677 
 1763 , 4675 
 3987 , 4675 
 891 , 4674 
 2519 , 4674 
 2724 , 4674 
 2344 , 4673 
 551 , 4673 
 921 , 4669 
 1651 , 4667 
 1583 , 4666 
 631 , 4663 
 2441 , 4662 
 2377 , 4652 
 1825 , 4651 
 2103 , 4651 
 2181 , 4651 
 1367 , 4645 
 1500 , 4644 
 3854 , 4640 
 4001 , 4639 
 4243 , 4639 
 3308 , 4636 
 4647 , 4635 
 1004 , 4634 
 2682 , 4634 
 4191 , 4632 
 2306 , 4632 
 406 , 4632 
 4273 , 4629 
 3759 , 4628 
 1313 , 4628 
 1202 , 4626 
 839 , 4624 
 3918 , 4616 
 430 , 4610 
 2711 , 4609 
 308 , 4603 
 1079 , 4602 
 1962 , 4602 
 3746 , 4598 
 1319 , 4597 
 2777 , 4596 
 616 , 4592 
 694 , 4588 
 1471 , 4586 
 2404 , 4582 
 481 , 4581 
 3407 , 4581 
 1451 , 4580 
 816 , 4578 
 1251 , 4574 
 4120 , 4569 
 375 , 4568 
 1001 , 4561 
 972 , 4561 
 4699 , 4559 
 1663 , 4556 
 2595 , 4556 
 1337 , 4555 
 1880 , 4553 
 2069 , 4552 
 581 , 4551 
 345 , 4549 
 1705 , 4548 
 3237 , 4546 
 3959 , 4543 
 722 , 4535 
 3324 , 4535 
 2470 , 4534 
 2322 , 4532 
 3390 , 4530 
 4401 , 4530 
 879 , 4528 
 2810 , 4526 
 1201 , 4526 
 1755 , 4526 
 3529 , 4518 
 1674 , 4517 
 1545 , 4516 
 3208 , 4514 
 1956 , 4512 
 2321 , 4512 
 1276 , 4510 
 3600 , 4509 
 4885 , 4507 
 4779 , 4504 
 4732 , 4501 
 1515 , 4500 
 3991 , 4500 
 3756 , 4499 
 3040 , 4499 
 4086 , 4498 
 801 , 4496 
 1569 , 4496 
 3551 , 4496 
 1468 , 4496 
 4253 , 4494 
 1004 , 4492 
 1055 , 4491 
 4431 , 4481 
 1703 , 4478 
 2633 , 4475 
 825 , 4475 
 3772 , 4473 
 2467 , 4472 
 3318 , 4471 
 3642 , 4470 
 3353 , 4469 
 3428 , 4468 
 364 , 4468 
 1342 , 4467 
 614 , 4467 
 2751 , 4462 
 3124 , 4461 
 1072 , 4461 
 1881 , 4459 
 3226 , 4459 
 1656 , 4458 
 1029 , 4456 
 2344 , 4454 
 4472 , 4444 
 1365 , 4441 
 4365 , 4440 
 696 , 4439 
 1421 , 4438 
 1440 , 4438 
 2037 , 4437 
 858 , 4432 
 4897 , 4432 
 4535 , 4428 
 490 , 4428 
 2881 , 4426 
 3103 , 4425 
 2313 , 4422 
 4199 , 4422 
 4624 , 4421 
 4167 , 4420 
 4806 , 4419 
 4532 , 4418 
 5069 , 4417 
 2673 , 4414 
 2759 , 4408 
 2466 , 4405 
 3693 , 4404 
 1929 , 4404 
 4584 , 4403 
 1747 , 4403 
 327 , 4401 
 1879 , 4400 
 5236 , 4399 
 5045 , 4393 
 944 , 4393 
 1506 , 4391 
 2193 , 4388 
 2877 , 4388 
 2682 , 4385 
 1113 , 4384 
 1328 , 4383 
 239 , 4381 
 3607 , 4381 
 2047 , 4374 
 660 , 4371 
 2105 , 4370 
 1084 , 4368 
 3051 , 4368 
 420 , 4366 
 192 , 4365 
 1047 , 4365 
 4288 , 4365 
 3664 , 4363 
 3409 , 4360 
 1269 , 4359 
 3031 , 4358 
 4832 , 4356 
 891 , 4355 
 4374 , 4355 
 4704 , 4354 
 3319 , 4353 
 1614 , 4351 
 673 , 4349 
 2487 , 4347 
 2536 , 4344 
 3764 , 4342 
 3840 , 4334 
 869 , 4332 
 3903 , 4331 
 1413 , 4331 
 4432 , 4330 
 1286 , 4330 
 682 , 4328 
 4789 , 4326 
 2666 , 4324 
 3350 , 4324 
 1697 , 4320 
 3184 , 4320 
 2116 , 4317 
 2562 , 4314 
 786 , 4314 
 635 , 4312 
 4648 , 4312 
 3116 , 4312 
 2811 , 4311 
 2655 , 4310 
 1138 , 4309 
 5185 , 4308 
 2455 , 4307 
 289 , 4304 
 2278 , 4303 
 2243 , 4302 
 3228 , 4301 
