"SPECIES: common name","Red-eared slider turtle"
"SPECIES: Latin  name","Pseudemys scripta elegans"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","visual streak"
"NUMBER OF CELLS",803
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the original cell plots for Fig 6C of Zhang and Eldred (1994) Neurosci 61: 707-718"
"X","Y"
 322 , 4567 
 1012 , 4565 
 3093 , 4565 
 2071 , 4564 
 2555 , 4564 
 927 , 4564 
 1409 , 4563 
 526 , 4562 
 3337 , 4562 
 2913 , 4561 
 724 , 4558 
 1579 , 4558 
 1721 , 4556 
 3158 , 4553 
 2287 , 4550 
 4292 , 4549 
 2462 , 4548 
 202 , 4547 
 1889 , 4545 
 3291 , 4543 
 1433 , 4542 
 305 , 4541 
 1506 , 4541 
 3128 , 4541 
 4266 , 4538 
 4133 , 4535 
 1908 , 4532 
 1088 , 4531 
 1035 , 4531 
 2433 , 4528 
 2526 , 4526 
 2145 , 4526 
 2923 , 4522 
 288 , 4520 
 1315 , 4519 
 2241 , 4517 
 2842 , 4517 
 1807 , 4517 
 2277 , 4515 
 1470 , 4515 
 2683 , 4514 
 4212 , 4514 
 1372 , 4513 
 1944 , 4512 
 2137 , 4508 
 889 , 4508 
 438 , 4505 
 790 , 4503 
 915 , 4503 
 3541 , 4502 
 1619 , 4501 
 1516 , 4500 
 2032 , 4500 
 1933 , 4500 
 1712 , 4497 
 3970 , 4496 
 3471 , 4495 
 4109 , 4493 
 2291 , 4492 
 1268 , 4491 
 2720 , 4490 
 1812 , 4488 
 1752 , 4483 
 3245 , 4480 
 1118 , 4478 
 1482 , 4478 
 1730 , 4476 
 1893 , 4476 
 2013 , 4475 
 83 , 4475 
 1647 , 4474 
 2552 , 4474 
 404 , 4473 
 2925 , 4473 
 3603 , 4472 
 1823 , 4472 
 1459 , 4471 
 2333 , 4471 
 1519 , 4470 
 3396 , 4470 
 3113 , 4468 
 604 , 4468 
 2094 , 4467 
 973 , 4467 
 1968 , 4467 
 2420 , 4467 
 2584 , 4464 
 1249 , 4464 
 1398 , 4464 
 1785 , 4463 
 925 , 4462 
 272 , 4462 
 3688 , 4461 
 1986 , 4461 
 2136 , 4459 
 2251 , 4459 
 1109 , 4458 
 387 , 4454 
 1154 , 4453 
 3299 , 4453 
 324 , 4453 
 1188 , 4452 
 1498 , 4451 
 3240 , 4451 
