 "SPECIES: common name","Red-eared slider turtle"
"SPECIES: Latin  name","Pseudemys scripta elegans"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","all except visual streak"
"NUMBER OF CELLS",612
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the original cell plots for Fig 6C of Zhang and Eldred (1994) Neurosci 61: 707-718"
"X","Y"
 3696 , 3762 
 1686 , 3758 
 3554 , 3757 
 1510 , 3753 
 1108 , 3752 
 1083 , 3751 
 3039 , 3747 
 4162 , 3746 
 2291 , 3745 
 2264 , 3742 
 1167 , 3740 
 3267 , 3736 
 935 , 3735 
 2713 , 3729 
 2895 , 3722 
 2505 , 3712 
 2204 , 3707 
 3488 , 3697 
 2494 , 3692 
 3295 , 3687 
 2073 , 3687 
 3851 , 3683 
 1600 , 3680 
 2766 , 3676 
 1866 , 3674 
 3669 , 3649 
 893 , 3646 
 1792 , 3645 
 1538 , 3644 
 1370 , 3643 
 3928 , 3642 
 1080 , 3641 
 3975 , 3639 
 2291 , 3637 
 1397 , 3631 
 845 , 3627 
 1194 , 3625 
 3339 , 3623 
 1537 , 3620 
 4132 , 3617 
 4173 , 3599 
 1228 , 3595 
 1902 , 3592 
 2625 , 3587 
 1163 , 3586 
 977 , 3580 
 3523 , 3576 
 2958 , 3576 
 2064 , 3573 
 3547 , 3570 
 3689 , 3564 
 3008 , 3556 
 2717 , 3551 
 919 , 3549 
 2596 , 3548 
 2675 , 3536 
 3281 , 3533 
 3787 , 3520 
 1766 , 3512 
 1669 , 3511 
 3405 , 3509 
 1509 , 3501 
 1740 , 3500 
 1130 , 3495 
 2556 , 3489 
 4058 , 3484 
 3798 , 3484 
 2829 , 3479 
 3495 , 3479 
 868 , 3475 
 2074 , 3472 
 1327 , 3463 
 2818 , 3453 
 2041 , 3451 
 1537 , 3450 
 2712 , 3450 
 1152 , 3448 
 1842 , 3447 
 2453 , 3447 
 1255 , 3446 
 3279 , 3443 
 3115 , 3443 
 3592 , 3439 
 3088 , 3436 
 2959 , 3426 
 1890 , 3419 
 3833 , 3413 
 3602 , 3412 
 968 , 3406 
 3910 , 3405 
 1697 , 3393 
 1135 , 3390 
 1345 , 3389 
 1530 , 3386 
 3426 , 3377 
 2490 , 3375 
 3044 , 3373 
 1101 , 3372 
 1487 , 3356 
 2997 , 3352 
 3164 , 3348 
 1388 , 3331 
 1876 , 3330 
 2713 , 3327 
 3504 , 3326 
 3436 , 3325 
 3378 , 3324 
 2031 , 3324 
 3762 , 3321 
 1638 , 3316 
 3045 , 3310 
 1286 , 3308 
 1223 , 3302 
 1435 , 3296 
 3233 , 3289 
 3591 , 3289 
 2909 , 3285 
 3128 , 3261 
 2567 , 3260 
 2913 , 3256 
 1624 , 3253 
 1344 , 3244 
 3837 , 3241 
 1582 , 3240 
 1227 , 3240 
 1263 , 3233 
 2003 , 3231 
 2125 , 3231 
 3886 , 3227 
 1278 , 3214 
 3026 , 3213 
 1834 , 3203 
 3687 , 3202 
 1736 , 3199 
 1182 , 3198 
 2697 , 3195 
 1400 , 3194 
 1414 , 3189 
 2669 , 3187 
 1333 , 3187 
 1857 , 3185 
 1353 , 3180 
 3454 , 3177 
 3273 , 3174 
 1731 , 3173 
 3505 , 3166 
 2887 , 3159 
 1986 , 3149 
 2118 , 3138 
 1578 , 3133 
 2877 , 3126 
 1420 , 3117 
 2664 , 3107 
 3639 , 3105 
 3532 , 3096 
 2118 , 3089 
 3615 , 3084 
 3248 , 3082 
 3774 , 3079 
 1258 , 3077 
 1654 , 3070 
 1289 , 3066 
 3389 , 3065 
 1853 , 3063 
 1910 , 3062 
 2663 , 3051 
 3151 , 3045 
 1483 , 3041 
 1996 , 3039 
 1318 , 3039 
 2866 , 3028 
 3212 , 3027 
 3553 , 3027 
 3071 , 3022 
 1920 , 3021 
 2699 , 3018 
 3030 , 3014 
 2732 , 3009 
 2026 , 3002 
 1617 , 2997 
 2128 , 2982 
 1416 , 2975 
 3244 , 2965 
 2729 , 2961 
 1559 , 2958 
 1356 , 2956 
 1716 , 2956 
 2746 , 2943 
 1379 , 2943 
 1495 , 2941 
 3304 , 2940 
 3537 , 2939 
 2963 , 2936 
 1352 , 2931 
 1697 , 2930 
 2811 , 2926 
 3127 , 2919 
 2939 , 2915 
 2099 , 2880 
 2863 , 2870 
 1674 , 2869 
 3475 , 2863 
 1771 , 2863 
 1554 , 2854 
 1489 , 2853 
 3551 , 2846 
 1964 , 2844 
 1678 , 2840 
 1641 , 2832 
 1936 , 2832 
 1801 , 2824 
 1877 , 2810 
 1726 , 2802 
 3053 , 2800 
 3257 , 2796 
 2966 , 2767 
 2138 , 2761 
 2829 , 2755 
 1653 , 2752 
 3192 , 2732 
 3352 , 2721 
 1736 , 2712 
 2873 , 2710 
 1923 , 2709 
 3313 , 2704 
 1795 , 2699 
 1615 , 2695 
 3151 , 2670 
 2913 , 2643 
 1903 , 2631 
 3242 , 2625 
 3195 , 2622 
 2024 , 2619 
 2978 , 2607 
 3033 , 2600 
 2011 , 2598 
 1981 , 2573 
 2980 , 2561 
 3133 , 2515 
